userid,condition,snippet,order,topic,total_actions,p10,any_interactions,was_clicked,clicked_count
15,0,1,4,408,247,0.6,1,1,10
26,0,2,3,435,146,0.2,0,0,0
26,0,2,3,435,146,0.1,1,1,8
45,0,2,4,408,590,0.3,1,1,2
45,0,2,4,408,590,0.3,0,0,0
45,0,2,4,408,590,0.4,1,1,8
32,0,4,4,408,516,0.7,0,0,0
32,0,4,4,408,516,0.6,1,1,6
32,0,4,4,408,516,0.9,1,1,17
44,0,1,4,408,207,0.3,1,1,8
44,0,2,3,435,106,0.0,0,0,0
44,0,2,3,435,106,0.2,1,1,2
44,0,2,3,435,106,0.7,1,1,1
26,0,1,1,347,144,0.5,1,1,8
7,0,2,2,341,121,0.2,1,1,5
39,0,0,2,341,330,0.1,1,1,10
39,0,0,2,341,330,0.0,1,1,3
4,0,0,1,347,167,0.1,1,1,2
4,0,0,1,347,167,0.4,1,1,7
29,0,2,2,341,282,0.1,0,0,0
29,0,2,2,341,282,0.2,1,1,1
29,0,2,2,341,282,0.0,0,0,0
29,0,2,2,341,282,0.2,1,1,4
29,0,2,2,341,282,0.1,1,1,2
21,0,4,2,341,186,0.2,1,1,5
21,0,4,2,341,186,0.1,1,1,1
17,0,4,2,341,666,0.2,1,1,15
17,0,2,1,347,414,0.2,1,1,4
17,0,2,1,347,414,0.3,1,1,3
17,0,2,1,347,414,0.0,1,1,3
45,0,1,2,341,882,0.2,1,1,2
45,0,1,2,341,882,0.2,1,1,3
45,0,1,2,341,882,0.1,1,1,4
18,0,2,1,347,283,0.3,1,1,5
18,0,2,1,347,283,0.1,1,1,1
18,0,2,1,347,283,0.6,1,1,2
18,0,2,1,347,283,0.7,1,1,2
40,0,0,2,341,213,0.2,1,1,1
40,0,0,2,341,213,0.2,0,0,0
40,0,0,2,341,213,0.2,0,0,0
40,0,0,2,341,213,0.2,0,0,0
40,0,0,2,341,213,0.0,0,0,0
40,0,0,2,341,213,0.0,0,0,0
40,0,0,2,341,213,0.0,0,0,0
40,0,0,2,341,213,0.0,0,0,0
40,0,0,2,341,213,0.0,0,0,0
40,0,0,2,341,213,0.0,0,0,0
40,0,0,2,341,213,0.0,0,0,0
9,0,1,1,347,206,0.2,1,1,3
9,0,1,1,347,206,0.0,1,1,1
9,0,1,1,347,206,0.1,0,0,0
9,0,1,1,347,206,0.0,0,0,0
9,0,1,1,347,206,0.8,1,1,5
30,0,1,3,435,470,0.3,0,0,0
30,0,1,3,435,470,0.2,1,1,11
13,0,1,3,435,447,0.7,1,1,19
51,0,4,4,408,511,1.0,1,1,2
51,0,4,4,408,511,0.8,1,1,3
51,0,4,4,408,511,1.0,1,1,11
51,0,4,4,408,511,0.3,1,1,5
36,0,1,1,347,459,0.2,1,1,9
36,0,1,1,347,459,0.5,1,1,5
