user,interface,diversity,order,topic,query_count,pages,pages_per_query,doc_count,doc_count_per_query,doc_depth_per_query,doc_rel_count,doc_rel_depth_per_query,doc_rel_depth_per_serp,hover_count_per_query,hover_depth_per_query,hover_trec_rel_count,hover_trec_nonrel_count,rels_found,nrels_found,clicked_rel,clicked_nrel,abandoned_serps,query_time,serp_time,doc_time,mark_time,mark_time_limited,serp_examination_time,serp_examination_time_limited,time_per_query,time_per_doc,time_per_serp,time_per_snippet,time_per_mark,time_per_mark_limited,time_per_serp_examination,time_per_serp_examination_limited,pmr,pmn,pcr,pcn
1,0.00,2,0,367,5.00,5.00,1.00,5.00,1.00,4.20,4.00,4.00,4.00,18.60,9.60,19.00,19.00,3.00,1.00,4.00,1.00,1,17.99,86.52,22.21,6.11,6.11,15.51,10.15,3.60,4.44,17.30,0.93,1.53,1.53,3.10,2.03,0.75,1.00,0.21,0.05
1,0.00,4,1,347,5.00,5.00,1.00,10.00,2.00,4.20,7.00,4.20,4.20,26.40,8.00,10.00,30.00,4.00,3.00,4.00,6.00,1,28.51,84.69,37.56,10.93,10.93,14.05,14.05,5.70,3.76,16.94,0.64,1.56,1.56,2.81,2.81,1.00,0.50,0.40,0.20
1,0.00,1,2,341,11.00,14.00,1.27,15.00,1.36,7.00,6.00,5.18,4.07,17.73,17.73,48.00,147.00,3.00,3.00,7.00,8.00,3,41.67,169.22,106.45,7.57,7.57,30.54,30.54,3.79,7.10,12.09,0.87,1.26,1.26,2.18,2.18,0.43,0.38,0.15,0.05
1,0.00,2,3,435,5.00,9.00,1.80,8.00,1.60,7.80,6.00,7.80,4.33,28.60,16.20,17.00,64.00,4.00,2.00,6.00,2.00,1,21.55,115.24,79.83,9.27,9.27,35.24,13.42,4.31,9.98,12.80,0.81,1.54,1.54,3.92,1.49,0.67,1.00,0.35,0.03
1,0.00,3,4,408,4.00,8.00,2.00,12.00,3.00,11.75,9.00,11.75,5.88,37.75,20.25,12.00,69.00,1.00,8.00,1.00,11.00,1,23.26,94.43,39.08,8.63,8.63,13.79,13.79,5.82,3.26,11.80,0.63,0.96,0.96,1.72,1.72,1.00,0.73,0.08,0.16
0,0.00,2,0,367,1.00,2.00,2.00,7.00,7.00,13.00,4.00,9.00,4.50,84.00,16.00,0.00,0.00,3.00,1.00,3.00,4.00,0,21.86,147.02,330.02,7.23,7.23,54.60,12.28,21.86,47.15,73.51,1.75,1.81,1.81,27.30,6.14,1.00,0.25,0.00,0.00
0,0.00,1,1,347,12.00,13.00,1.08,13.00,1.08,4.83,9.00,4.83,4.46,21.00,7.00,10.00,74.00,3.00,6.00,3.00,10.00,1,101.03,278.75,587.61,24.59,24.59,70.09,39.84,8.42,45.20,21.44,1.11,2.73,2.73,5.39,3.06,1.00,0.60,0.30,0.14
0,0.00,4,2,341,1.00,5.00,5.00,8.00,8.00,50.00,8.00,50.00,10.00,131.00,50.00,8.00,42.00,3.00,5.00,3.00,5.00,0,17.96,175.07,266.21,45.96,16.78,35.18,25.60,17.96,33.28,35.01,1.34,5.75,2.10,7.04,5.12,1.00,1.00,0.38,0.12
0,0.00,3,3,435,2.00,11.00,5.50,11.00,5.50,41.00,9.00,41.00,7.45,110.00,54.00,35.00,73.00,2.00,7.00,3.00,8.00,1,19.62,332.04,274.82,26.14,14.17,89.30,32.50,9.81,24.98,30.19,1.51,2.90,1.57,8.12,2.95,0.67,0.88,0.09,0.11
0,0.00,2,4,408,3.00,8.00,2.67,13.00,4.33,15.33,10.00,13.67,5.12,68.67,22.33,7.00,60.00,0.00,10.00,0.00,13.00,0,35.38,230.08,226.36,26.85,16.21,91.29,33.98,11.79,17.41,28.76,1.12,2.69,1.62,11.41,4.25,0.00,0.77,0.00,0.22
3,0.00,2,0,367,3.00,6.00,2.00,11.00,3.67,13.33,6.00,13.33,6.67,44.33,16.67,6.00,21.00,3.00,3.00,5.00,6.00,1,19.32,297.88,169.14,34.75,19.70,80.13,39.99,6.44,15.38,49.65,2.24,5.79,3.28,13.35,6.67,0.60,0.50,0.83,0.29
3,0.00,3,1,347,2.00,3.00,1.50,12.00,6.00,15.00,7.00,13.50,9.00,41.00,18.50,17.00,20.00,5.00,2.00,7.00,5.00,0,15.12,155.04,299.84,73.08,13.46,45.08,23.28,7.56,24.99,51.68,1.89,10.44,1.92,15.03,7.76,0.71,0.40,0.41,0.25
3,0.00,4,2,341,6.00,9.00,1.50,14.00,2.33,5.83,5.00,4.67,3.11,23.17,9.33,9.00,47.00,2.00,3.00,5.00,9.00,4,55.57,239.27,625.69,309.58,7.22,65.01,41.88,9.26,44.69,26.59,1.72,61.92,1.44,7.22,4.65,0.40,0.33,0.56,0.19
3,0.00,2,3,435,4.00,5.00,1.25,8.00,2.00,3.50,5.00,3.25,2.60,20.00,10.00,6.00,34.00,4.00,1.00,4.00,4.00,1,38.48,134.34,111.44,36.34,5.05,45.34,19.68,9.62,13.93,26.87,1.68,7.27,1.01,9.07,3.94,1.00,0.25,0.67,0.12
3,0.00,1,4,408,10.00,10.00,1.00,6.00,0.60,2.00,5.00,2.00,2.00,8.30,10.30,20.00,83.00,3.00,2.00,3.00,3.00,0,47.25,167.96,506.24,20.86,8.09,46.38,31.30,4.73,84.37,16.80,2.02,4.17,1.62,4.64,3.13,1.00,0.67,0.15,0.04
2,0.00,1,1,347,1.00,2.00,2.00,7.00,7.00,24.00,7.00,24.00,12.00,56.00,24.00,12.00,12.00,4.00,3.00,4.00,3.00,0,9.70,73.98,67.02,20.69,13.32,20.42,3.88,9.70,9.57,36.99,1.32,2.96,1.90,10.21,1.94,1.00,1.00,0.33,0.25
2,0.00,2,3,435,8.00,11.00,1.38,9.00,1.12,3.75,7.00,2.50,1.82,13.12,7.50,16.00,44.00,5.00,2.00,6.00,3.00,2,76.01,191.74,54.83,18.12,9.96,42.26,16.01,9.50,6.09,17.43,1.83,2.59,1.42,3.84,1.46,0.83,0.67,0.38,0.07
2,0.00,4,2,341,1.00,2.00,2.00,6.00,6.00,11.00,6.00,11.00,5.50,39.00,15.00,3.00,12.00,2.00,4.00,2.00,4.00,0,14.10,52.66,54.27,11.68,11.68,3.61,3.61,14.10,9.04,26.33,1.35,1.95,1.95,1.80,1.80,1.00,1.00,0.67,0.33
2,0.00,3,4,408,2.00,3.00,1.50,8.00,4.00,11.00,7.00,11.00,7.33,25.00,20.50,11.00,30.00,4.00,3.00,5.00,3.00,0,26.67,105.34,99.21,17.07,9.86,13.12,6.79,13.34,12.40,35.11,2.11,2.44,1.41,4.37,2.26,0.80,1.00,0.45,0.10
2,0.00,2,0,367,2.00,2.00,1.00,4.00,2.00,5.00,4.00,5.00,5.00,21.00,5.50,0.00,1.00,2.00,2.00,2.00,2.00,0,27.65,71.41,43.12,24.77,8.08,19.43,5.87,13.82,10.78,35.70,1.70,6.19,2.02,9.71,2.93,1.00,1.00,0.00,2.00
5,0.00,2,0,367,1.00,4.00,4.00,9.00,9.00,30.00,9.00,30.00,7.50,49.00,34.00,0.00,0.00,7.00,2.00,7.00,2.00,0,2.65,148.99,161.48,25.33,13.10,33.30,33.30,2.65,17.94,37.25,3.04,2.81,1.46,8.32,8.32,1.00,1.00,0.00,0.00
5,0.00,3,1,347,3.00,7.00,2.33,12.00,4.00,13.67,9.00,13.67,5.86,21.67,17.00,16.00,35.00,5.00,4.00,7.00,5.00,1,44.70,162.84,88.80,12.75,12.75,27.54,27.54,14.90,7.40,23.26,2.51,1.42,1.42,3.93,3.93,0.71,0.80,0.44,0.14
