is_diversified,no_terms,topic,p1,p5,p10,p20,aDCG5,aDCG10,ar5,ar10
1,3,367,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,367,1.0,0.2,0.1,0.05,0.073173,0.072196,0.4,0.2
1,3,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,367,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,367,1.0,0.6,0.6,0.35,0.000000,0.036279,0.0,0.3
1,1,435,0.0,0.2,0.3,0.2,0.010909,0.027188,0.2,0.3
1,3,435,0.0,0.2,0.1,0.05,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.1,0.15,0.000000,0.007224,0.0,0.1
1,3,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,1.0,0.2,0.1,0.1,0.025329,0.024991,0.2,0.1
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.2,0.1,0.05,0.010909,0.010763,0.2,0.1
1,3,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
