user,interface,snippet_len,order,topic,query_count,pages,pages_per_query,doc_count,doc_count_per_query,doc_depth_per_query,doc_rel_count,doc_rel_depth_per_query,doc_rel_depth_per_serp,hover_count_per_query,hover_depth_per_query,hover_trec_rel_count,hover_trec_nonrel_count,rels_found,nrels_found,clicked_rel,clicked_nrel,abandoned_serps,query_time,serp_time,doc_time,mark_time,mark_time_limited,serp_examination_time,serp_examination_time_limited,time_per_query,time_per_doc,time_per_serp,time_per_snippet,time_per_mark,time_per_mark_limited,time_per_serp_examination,time_per_serp_examination_limited,pmr,pmn,pcr,pcn
30,3,1,3,435,2.00,11.00,5.50,11.00,5.50,37.00,9.00,37.00,6.73,83.00,51.50,19.00,84.00,2.00,7.00,3.00,8.00,0,6.76,299.69,48.79,11.90,11.90,64.39,27.72,3.38,4.44,27.24,1.81,1.32,1.32,5.85,2.52,0.67,0.88,0.16,0.10
30,2,0,2,341,6.00,13.00,2.17,6.00,1.00,9.17,5.00,2.33,1.08,22.00,13.17,16.00,63.00,1.00,4.00,1.00,5.00,5,25.18,295.39,95.51,10.63,10.63,139.21,19.39,4.20,15.92,22.72,2.24,2.13,2.13,10.71,1.49,1.00,0.80,0.06,0.08
30,1,2,4,408,2.00,9.00,4.50,7.00,3.50,27.00,5.00,27.00,6.00,72.00,43.50,32.00,55.00,3.00,2.00,4.00,3.00,0,11.99,284.75,81.22,68.23,2.26,53.42,13.84,6.00,11.60,31.64,1.98,13.65,0.45,5.94,1.54,0.75,0.67,0.12,0.05
38,2,0,1,347,2.00,4.00,2.00,13.00,6.50,15.00,6.00,14.50,7.25,74.50,15.00,6.00,24.00,3.00,3.00,3.00,10.00,2,18.29,109.91,218.53,17.34,12.09,18.48,13.04,9.14,16.81,27.48,0.74,2.89,2.02,4.62,3.26,1.00,0.30,0.50,0.42
38,4,4,3,435,2.00,3.00,1.50,8.00,4.00,11.50,4.00,9.00,6.00,26.00,12.00,12.00,12.00,4.00,0.00,6.00,2.00,0,27.58,112.45,207.86,10.39,10.39,43.97,7.90,13.79,25.98,37.48,2.16,2.60,2.60,14.66,2.63,0.67,0.00,0.50,0.17
38,3,1,2,341,1.00,2.00,2.00,8.00,8.00,10.00,6.00,9.00,4.50,48.00,14.00,2.00,12.00,1.00,5.00,1.00,7.00,0,9.29,53.41,275.64,9.88,9.88,13.12,13.12,9.29,34.45,26.70,1.11,1.65,1.65,6.56,6.56,1.00,0.71,0.50,0.58
38,1,2,4,408,1.00,3.00,3.00,10.00,10.00,30.00,8.00,30.00,10.00,62.00,30.00,12.00,18.00,2.00,6.00,3.00,7.00,0,24.45,100.07,230.23,18.00,18.00,25.09,25.09,24.45,23.02,33.36,1.61,2.25,2.25,8.36,8.36,0.67,0.86,0.25,0.39
40,3,1,1,347,3.00,4.00,1.33,7.00,2.33,3.00,2.00,1.33,1.00,17.33,7.00,3.00,18.00,0.00,2.00,2.00,5.00,1,23.32,70.07,262.09,2.19,2.19,14.32,14.32,7.77,37.44,17.52,1.35,1.09,1.09,3.58,3.58,0.00,0.40,0.67,0.28
40,2,0,2,341,11.00,12.00,1.09,1.00,0.09,0.18,0.00,0.00,0.00,5.27,3.55,5.00,34.00,0.00,0.00,0.00,1.00,7,86.94,239.04,22.05,0.00,0.00,185.34,10.14,7.90,22.05,19.92,4.12,0.00,0.00,15.45,0.84,0.00,0.00,0.00,0.03
40,4,4,3,435,1.00,1.00,1.00,5.00,5.00,6.00,2.00,5.00,5.00,26.00,6.00,1.00,5.00,1.00,1.00,1.00,4.00,0,9.48,53.11,284.69,95.40,4.20,4.85,4.85,9.48,56.94,53.11,2.04,47.70,2.10,4.85,4.85,1.00,0.25,1.00,0.80
40,1,2,4,408,5.00,5.00,1.00,8.00,1.60,2.00,0.00,0.00,0.00,7.40,4.20,9.00,12.00,0.00,0.00,4.00,4.00,2,26.23,105.93,210.89,0.00,0.00,20.09,20.09,5.25,26.36,21.19,2.86,0.00,0.00,4.02,4.02,0.00,0.00,0.44,0.33
23,3,1,1,347,3.00,4.00,1.33,12.00,4.00,11.00,12.00,11.00,8.25,35.33,13.33,4.00,36.00,2.00,10.00,2.00,10.00,0,43.56,229.24,76.62,17.40,17.40,49.54,28.84,14.52,6.39,57.31,2.16,1.45,1.45,12.38,7.21,1.00,1.00,0.50,0.28
23,2,0,2,341,6.00,11.00,1.83,10.00,1.67,9.33,8.00,6.00,3.27,22.67,14.83,13.00,76.00,1.00,7.00,2.00,8.00,0,135.18,177.49,41.17,7.77,7.77,51.69,51.69,22.53,4.12,16.14,1.31,0.97,0.97,4.70,4.70,0.50,0.88,0.15,0.11
23,1,2,3,435,3.00,6.00,2.00,13.00,4.33,12.33,12.00,12.33,6.17,34.33,16.00,13.00,35.00,5.00,7.00,6.00,7.00,0,26.61,502.18,58.45,15.20,15.20,401.28,37.67,8.87,4.50,83.70,4.88,1.27,1.27,66.88,6.28,0.83,1.00,0.46,0.20
23,4,4,4,408,2.00,5.00,2.50,11.00,5.50,14.00,11.00,14.00,5.60,26.50,17.50,2.00,33.00,0.00,11.00,0.00,11.00,1,22.50,288.47,53.57,14.66,14.66,71.14,18.64,11.25,4.87,57.69,5.44,1.33,1.33,14.23,3.73,0.00,1.00,0.00,0.33
21,2,0,1,347,3.00,8.00,2.67,5.00,1.67,13.33,3.00,5.33,2.00,22.00,20.67,1.00,61.00,1.00,2.00,1.00,4.00,1,22.60,93.69,223.53,8.89,8.89,29.60,23.41,7.53,44.71,11.71,1.42,2.96,2.96,3.70,2.93,1.00,0.50,1.00,0.07
21,4,4,2,341,2.00,2.00,1.00,6.00,3.00,5.50,4.00,5.50,5.50,32.00,9.00,3.00,15.00,1.00,3.00,2.00,4.00,0,14.68,213.89,128.34,16.52,4.40,50.99,8.21,7.34,21.39,106.94,3.34,4.13,1.10,25.49,4.11,0.50,0.75,0.67,0.27
21,1,2,3,435,1.00,2.00,2.00,10.00,10.00,12.00,9.00,12.00,6.00,72.00,13.00,7.00,6.00,5.00,4.00,5.00,5.00,0,16.80,103.75,226.39,15.84,10.20,29.49,15.58,16.80,22.64,51.88,1.44,1.76,1.13,14.74,7.79,1.00,0.80,0.71,0.83
21,3,1,4,408,3.00,4.00,1.33,17.00,5.67,7.67,12.00,7.00,5.25,42.33,8.00,4.00,20.00,1.00,11.00,2.00,15.00,1,14.47,115.95,219.05,26.52,16.24,32.64,26.78,4.82,12.89,28.99,0.91,2.21,1.35,8.16,6.70,0.50,0.73,0.50,0.75

